year,textblob,GDPpc,life_expectancy,Democrat,Republican,z_GDPpc,z_life_expectancy,z_textblob,text_per_year
2003,0.08642277968122024,47157.9953,77.2,0.0,1.0,0.600186471475155,0.3398104144117641,0.15771070057683875,1
2004,0.06978774623352543,48492.7171,77.6,0.0,1.0,0.749537529365851,0.48794622469413185,-0.07466036420905284,1
2005,0.06788459470243136,49654.7614,77.6,0.0,1.0,0.8795665328037613,0.48794622469413196,-0.10124506264802796,1
2006,0.07140846632067471,50489.86,77.8,0.0,1.0,0.9730113685388476,0.5620141298353184,-0.052020887495349624,1
2007,0.048318205702957785,50901.7447,78.1,0.0,1.0,1.019099935964653,0.6731159875470956,-0.37456357806421897,1
2008,0.06795827949125034,50275.7463,78.2,0.0,1.0,0.949052737156719,0.7101499401176915,-0.10021577629941737,1
2009,0.0634322308275673,48452.93350000001,78.59999999999998,1.0,0.0,0.7450858730381424,0.8582857504000593,-0.163439138642493,1
2010,0.07115142176014384,49266.9159,78.8,1.0,0.0,0.8361678742045336,0.9323536555412458,-0.055611485519440465,1
2011,0.04783966736523574,49675.0,78.8,1.0,0.0,0.881831166767353,0.9323536555412458,-0.38124817316449244,1
2012,0.05526977532231413,50394.0,78.9,1.0,0.0,0.962284944193788,0.9693876081118415,-0.2774586555245573,1
2013,0.056242144662581164,50863.0,79.0,1.0,0.0,1.0147645291910037,1.0064215606824325,-0.26387584550656373,1
