,movies,year
264,thelmalouise_dialog.txt,1991
265,replacementsthe_dialog.txt,2000
266,aneducation_dialog.txt,2009
267,terminator_dialog.txt,1984
268,edwardscissorhands_dialog.txt,1990
269,bigfish_dialog.txt,2016
270,mightymorphinpowerrangersthemovie_dialog.txt,1995
271,rocky_dialog.txt,1976
272,hospitalthe_dialog.txt,2020
273,residentevil_dialog.txt,2002
274,avatar_dialog.txt,2009
275,legallyblonde_dialog.txt,2001
276,easya_dialog.txt,2010
277,slingblade_dialog.txt,1996
278,cityofjoy_dialog.txt,1992
279,thirteendays_dialog.txt,2000
280,savingprivateryan_dialog.txt,1998
281,moonstruck_dialog.txt,1987
282,starman_dialog.txt,1984
283,americanwerewolfinlondon_dialog.txt,1981
284,agnesofgod_dialog.txt,1985
285,thunderheart_dialog.txt,1992
286,moneyball_dialog.txt,2011
287,diner_dialog.txt,1982
288,daytheclowncriedthe_dialog.txt,1972
289,taxidriver_dialog.txt,1982
290,custody_dialog.txt,2017
291,princessbridethe_dialog.txt,1987
292,badcountry_dialog.txt,2014
293,gremlins2_dialog.txt,1984
294,candletowater_dialog.txt,2012
295,scottpilgrimvstheworld_dialog.txt,2010
296,robinhoodprinceofthieves_dialog.txt,1991
297,affliction_dialog.txt,1997
298,warhorse_dialog.txt,2011
299,bachelorpartythe_dialog.txt,1984
300,inventingtheabbotts_dialog.txt,1997
301,syriana_dialog.txt,2005
302,planetoftheapesthe_dialog.txt,1968
303,moon_dialog.txt,2009
304,kungfupanda_dialog.txt,2008
305,toystory_dialog.txt,1995
306,rushhour2_dialog.txt,2001
307,chronicle_dialog.txt,2012
308,totalrecall_dialog.txt,1990
309,jackiebrown_dialog.txt,1997
310,rebelwithoutacause_dialog.txt,1955
311,piratesofthecaribbeandeadmanschest_dialog.txt,2006
312,whiteribbonthe_dialog.txt,2009
313,mutewitness_dialog.txt,1995
314,landofthedead_dialog.txt,2005
315,frozendisney_dialog.txt,2004
316,hannibal_dialog.txt,2001
317,indianajonesandthetempleofdoom_dialog.txt,1984
318,finaldestination_dialog.txt,2000
319,fridaythe13thpartviiijasontakesmanhattan_dialog.txt,1989
320,basic_dialog.txt,2003
321,frequency_dialog.txt,2000
322,dotherightthing_dialog.txt,1989
323,huntforredoctoberthe_dialog.txt,1990
324,arbitrage_dialog.txt,2012
325,machinegunpreacher_dialog.txt,2011
326,airplane_dialog.txt,1980
327,freddyvsjason_dialog.txt,2003
328,truelies_dialog.txt,1994
329,bookofelithe_dialog.txt,2010
330,chasingamy_dialog.txt,1997
331,uturn_dialog.txt,1997
332,life_dialog.txt,2017
333,deathatafuneral_dialog.txt,2007
334,margaret_dialog.txt,2011
335,10thingsihateaboutyou_dialog.txt,1999
336,amour_dialog.txt,2012
337,highfidelity_dialog.txt,2000
338,sessionsthe_dialog.txt,2012
339,antitrust_dialog.txt,2001
340,flintstonesthe_dialog.txt,1994
341,2001aspaceodyssey_dialog.txt,1968
342,logansrun_dialog.txt,1976
343,mymotherdreamsthesatansdisciplesinnewyork_dialog.txt,1998
344,silverliningsplaybook_dialog.txt,2012
345,dropdeadgorgeous_dialog.txt,1999
346,commando_dialog.txt,1985
347,adaptation_dialog.txt,2002
348,haroldandkumargotowhitecastle_dialog.txt,2004
349,colorofnight_dialog.txt,1994
